[21/May/2017 10:01:45] ERROR [django.security.DisallowedHost:216] Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
[21/May/2017 10:01:45] ERROR [django.security.DisallowedHost:216] Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
[21/May/2017 10:01:59] DEBUG [django.db.backends:89] (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
[21/May/2017 10:01:59] DEBUG [django.db.backends:89] (0.000) SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"; args=()
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.003) SELECT COUNT(*) AS "__count" FROM "myproject_category"; args=()
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."model" = 'blogdetail' AND "django_content_type"."app_label" = 'blog'); args=('blogdetail', 'blog')
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."model" = 'bookdetail' AND "django_content_type"."app_label" = 'books'); args=('bookdetail', 'books')
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."model" = 'course_detail' AND "django_content_type"."app_label" = 'myproject'); args=('course_detail', 'myproject')
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_maincategory"."id", "myproject_maincategory"."title", "myproject_maincategory"."slug" FROM "myproject_maincategory" ORDER BY "myproject_maincategory"."id" ASC; args=()
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 1 ORDER BY "myproject_category"."id" ASC; args=(1,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 1; args=(1,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 2; args=(2,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 3; args=(3,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 6; args=(6,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 7; args=(7,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 8; args=(8,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 9; args=(9,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 10; args=(10,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 11; args=(11,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 2 ORDER BY "myproject_category"."id" ASC; args=(2,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 12; args=(12,)
